"AU","Season","Samples","type","Assessment"
"AR_11110205_016","ELA",10,"Chronic","ATTAIN"
"AR_11110205_016","ELP",18,"Chronic","ATTAIN"
"AR_11110205_4011","ELA",2,"Chronic","Not Enough Information"
"AR_11110205_4011","ELP",7,"Chronic","Not Enough Information"
"AR_11110205_4020","ELA",2,"Chronic","Not Enough Information"
"AR_11110205_4020","ELP",3,"Chronic","Not Enough Information"
"AR_11110205_4030","ELA",2,"Chronic","Not Enough Information"
"AR_11110205_4030","ELP",3,"Chronic","Not Enough Information"
"AR_11110205_617","ELA",13,"Chronic","ATTAIN"
"AR_11110205_617","ELP",20,"Chronic","ATTAIN"
"AR_11110206_007","ELA",13,"Chronic","ATTAIN"
"AR_11110206_007","ELP",17,"Chronic","ATTAIN"
"AR_11110206_012","ELP",5,"Chronic","Not Enough Information"
"AR_11110206_014","ELA",13,"Chronic","ATTAIN"
"AR_11110206_014","ELP",19,"Chronic","ATTAIN"
"AR_11110206_015","ELP",5,"Chronic","Not Enough Information"
"AR_11110206_4030","ELA",1,"Chronic","Not Enough Information"
"AR_11110206_4030","ELP",11,"Chronic","ATTAIN"
"AR_11110206_4051","ELA",1,"Chronic","Not Enough Information"
"AR_11110206_4051","ELP",3,"Chronic","Not Enough Information"
"AR_11110206_4052","ELA",2,"Chronic","Not Enough Information"
"AR_11110206_4052","ELP",9,"Chronic","Not Enough Information"
"AR_11110206_514","ELP",5,"Chronic","Not Enough Information"
"AR_11110206_808","ELP",4,"Chronic","Not Enough Information"
"AR_11110206_914","ELP",5,"Chronic","Not Enough Information"
"AR_11110207_001","ELA",5,"Chronic","Not Enough Information"
"AR_11110207_001","ELP",4,"Chronic","Not Enough Information"
"AR_11110207_008","ELA",10,"Chronic","ATTAIN"
"AR_11110207_008","ELP",14,"Chronic","ATTAIN"
"AR_11110207_011","ELA",11,"Chronic","ATTAIN"
"AR_11110207_011","ELP",9,"Chronic","Not Enough Information"
"AR_11110207_022","ELA",11,"Chronic","ATTAIN"
"AR_11110207_022","ELP",6,"Chronic","Not Enough Information"
"AR_11110207_023","ELP",3,"Chronic","Not Enough Information"
"AR_11110207_024","ELA",12,"Chronic","ATTAIN"
"AR_11110207_024","ELP",15,"Chronic","ATTAIN"
"AR_11110207_4072","ELA",1,"Chronic","Not Enough Information"
"AR_11110207_724","ELP",3,"Chronic","Not Enough Information"
"AR_11110207_822","ELA",12,"Chronic","ATTAIN"
"AR_11110207_822","ELP",13,"Chronic","ATTAIN"
"AR_11110207_824","ELP",3,"Chronic","Not Enough Information"
"AR_11110207_826","ELA",9,"Chronic","Not Enough Information"
"AR_11110207_826","ELP",14,"Chronic","ATTAIN"
"AR_11110207_912","ELP",3,"Chronic","Not Enough Information"
"AR_11140106_002","ELA",11,"Chronic","ATTAIN"
"AR_11140106_002","ELP",12,"Chronic","ATTAIN"
"AR_11140106_005","ELA",14,"Chronic","ATTAIN"
"AR_11140106_005","ELP",18,"Chronic","ATTAIN"
"AR_11140108_012","ELP",5,"Chronic","Not Enough Information"
"AR_11140108_014","ELA",13,"Chronic","ATTAIN"
"AR_11140108_014","ELP",19,"Chronic","ATTAIN"
"AR_11140108_019","ELP",4,"Chronic","Not Enough Information"
"AR_11140108_907","ELP",4,"Chronic","Not Enough Information"
"AR_11140109_010","ELA",14,"Chronic","ATTAIN"
"AR_11140109_010","ELP",17,"Chronic","ATTAIN"
"AR_11140109_011","ELA",10,"Chronic","ATTAIN"
"AR_11140109_011","ELP",14,"Chronic","ATTAIN"
"AR_11140109_013","ELA",13,"Chronic","ATTAIN"
"AR_11140109_013","ELP",11,"Chronic","ATTAIN"
"AR_11140109_014","ELA",13,"Chronic","ATTAIN"
"AR_11140109_014","ELP",19,"Chronic","ATTAIN"
"AR_11140109_018","ELA",13,"Chronic","ATTAIN"
"AR_11140109_018","ELP",18,"Chronic","ATTAIN"
"AR_11140109_019","ELP",4,"Chronic","Not Enough Information"
"AR_11140109_020","ELP",4,"Chronic","Not Enough Information"
"AR_11140109_021","ELA",11,"Chronic","ATTAIN"
"AR_11140109_021","ELP",14,"Chronic","ATTAIN"
"AR_11140109_023","ELA",14,"Chronic","ATTAIN"
"AR_11140109_023","ELP",19,"Chronic","ATTAIN"
"AR_11140109_025","ELA",14,"Chronic","ATTAIN"
"AR_11140109_025","ELP",16,"Chronic","ATTAIN"
"AR_11140109_026","ELA",14,"Chronic","ATTAIN"
"AR_11140109_026","ELP",18,"Chronic","ATTAIN"
"AR_11140109_029","ELP",5,"Chronic","Not Enough Information"
"AR_11140109_032","ELA",11,"Chronic","ATTAIN"
"AR_11140109_032","ELP",13,"Chronic","ATTAIN"
"AR_11140109_034","ELA",10,"Chronic","ATTAIN"
"AR_11140109_034","ELP",14,"Chronic","ATTAIN"
"AR_11140109_4020","ELP",1,"Chronic","Not Enough Information"
"AR_11140109_4021","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4021","ELP",3,"Chronic","Not Enough Information"
"AR_11140109_4070","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4070","ELP",2,"Chronic","Not Enough Information"
"AR_11140109_4071","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4080","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4080","ELP",2,"Chronic","Not Enough Information"
"AR_11140109_4081","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4081","ELP",3,"Chronic","Not Enough Information"
"AR_11140109_4090","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4090","ELP",2,"Chronic","Not Enough Information"
"AR_11140109_4091","ELA",2,"Chronic","Not Enough Information"
"AR_11140109_4091","ELP",3,"Chronic","Not Enough Information"
"AR_11140109_533","ELA",10,"Chronic","ATTAIN"
"AR_11140109_533","ELP",9,"Chronic","Not Enough Information"
"AR_11140109_710","ELP",1,"Chronic","Not Enough Information"
"AR_11140109_718","ELP",5,"Chronic","Not Enough Information"
"AR_11140109_719","ELP",4,"Chronic","Not Enough Information"
"AR_11140109_810","ELA",9,"Chronic","Not Enough Information"
"AR_11140109_810","ELP",12,"Chronic","ATTAIN"
"AR_11140109_820","ELA",10,"Chronic","ATTAIN"
"AR_11140109_820","ELP",12,"Chronic","ATTAIN"
"AR_11140109_913","ELA",13,"Chronic","ATTAIN"
"AR_11140109_913","ELP",19,"Chronic","ATTAIN"
"AR_11140109_916","ELA",11,"Chronic","ATTAIN"
"AR_11140109_916","ELP",14,"Chronic","ATTAIN"
"AR_11140109_918","ELA",13,"Chronic","ATTAIN"
"AR_11140109_918","ELP",17,"Chronic","ATTAIN"
"AR_11140109_921","ELP",3,"Chronic","Not Enough Information"
"AR_11140109_927","ELA",13,"Chronic","ATTAIN"
"AR_11140109_927","ELP",19,"Chronic","ATTAIN"
"AR_11140109_929","ELP",5,"Chronic","Not Enough Information"
"AR_11140109_933","ELA",14,"Chronic","ATTAIN"
"AR_11140109_933","ELP",16,"Chronic","ATTAIN"
"AR_11140109_934","ELA",14,"Chronic","ATTAIN"
"AR_11140109_934","ELP",17,"Chronic","ATTAIN"
"AR_11140109_935","ELA",10,"Chronic","ATTAIN"
"AR_11140109_935","ELP",13,"Chronic","ATTAIN"
"AR_11140201_002","ELA",11,"Chronic","ATTAIN"
"AR_11140201_002","ELP",14,"Chronic","ATTAIN"
"AR_11140201_003","ELA",13,"Chronic","ATTAIN"
"AR_11140201_003","ELP",18,"Chronic","ATTAIN"
"AR_11140201_007","ELA",14,"Chronic","ATTAIN"
"AR_11140201_007","ELP",19,"Chronic","ATTAIN"
"AR_11140201_010","ELA",11,"Chronic","ATTAIN"
"AR_11140201_010","ELP",12,"Chronic","ATTAIN"
"AR_11140201_011","ELA",14,"Chronic","ATTAIN"
"AR_11140201_011","ELP",17,"Chronic","ATTAIN"
"AR_11140201_4010","ELA",1,"Chronic","Not Enough Information"
"AR_11140201_4010","ELP",1,"Chronic","Not Enough Information"
"AR_11140201_913","ELA",9,"Chronic","Not Enough Information"
"AR_11140201_913","ELP",12,"Chronic","ATTAIN"
"AR_11140203_022","ELA",13,"Chronic","ATTAIN"
"AR_11140203_022","ELP",16,"Chronic","ATTAIN"
"AR_11140203_823","ELA",9,"Chronic","Not Enough Information"
"AR_11140203_823","ELP",14,"Chronic","ATTAIN"
"AR_11140205_006","ELA",14,"Chronic","ATTAIN"
"AR_11140205_006","ELP",16,"Chronic","ATTAIN"
"AR_11140205_010","ELA",10,"Chronic","ATTAIN"
"AR_11140205_010","ELP",12,"Chronic","ATTAIN"
"AR_11140205_013","ELA",10,"Chronic","ATTAIN"
"AR_11140205_013","ELP",11,"Chronic","ATTAIN"
"AR_11140205_4022","ELA",1,"Chronic","Not Enough Information"
"AR_11140205_902","ELA",11,"Chronic","ATTAIN"
"AR_11140205_902","ELP",12,"Chronic","ATTAIN"
"AR_11140302_003","ELA",13,"Chronic","ATTAIN"
"AR_11140302_003","ELP",20,"Chronic","ATTAIN"
"AR_11140302_006","ELA",13,"Chronic","ATTAIN"
"AR_11140302_006","ELP",18,"Chronic","ATTAIN"
"AR_11140302_803","ELA",10,"Chronic","ATTAIN"
"AR_11140302_803","ELP",13,"Chronic","ATTAIN"
"AR_11140302_903","ELA",10,"Chronic","ATTAIN"
"AR_11140302_903","ELP",14,"Chronic","ATTAIN"
"AR_11140304_908","ELA",10,"Chronic","ATTAIN"
"AR_11140304_908","ELP",12,"Chronic","ATTAIN"
"AR_08040103_902","ELP",1,"Chronic","Not Enough Information"
"AR_08040201_616","ELA",1,"Chronic","Not Enough Information"
"AR_08040201_616","ELP",6,"Chronic","FAILS"
"AR_08040201_910","ELP",2,"Chronic","FAILS"
"AR_11140109_4071","ELP",1,"Chronic","Not Enough Information"
